Country_ISO,Slope,Intercept,R2,P_value,class
UKR,-0.0002806380616065347,0.012159857924531203,0.8485404208245817,1.2055035990695977e-09,bvmeat
URY,8.061289018984681e-05,0.0036989432231040215,0.6664905869903059,3.595572286932297e-06,bvmeat
USA,-2.089404920027995e-06,0.005451490449353612,0.003966539676612196,0.78067655399713,bvmeat
UZB,0.00023790744168136356,0.001984087045162997,0.9787778355695286,3.2970554295819736e-18,bvmeat
VCT,-7.016905373275534e-05,0.013307892498463793,0.14835181608562562,0.07670150879611354,bvmeat
VEN,5.135889266105301e-06,0.0027260002995575083,0.009757305036704312,0.6618629113068538,bvmeat
VNM,0.0021996059116466083,0.00805733927497504,0.9734957773787069,3.051029047983208e-17,bvmeat
VUT,-0.00013837477011174513,0.008091013907006898,0.4628943988457406,0.0004934098993523938,bvmeat
WSM,-0.001099884625950689,0.036369923356171445,0.6492758219128039,6.016091229380342e-06,bvmeat
YEM,1.81969335012943e-05,0.0004373597207615644,0.6774929715784705,2.552478714909245e-06,bvmeat
ZAF,3.441018581368312e-05,0.000887941719501591,0.9107746270647565,5.878438834481393e-12,bvmeat
ZMB,4.296364970074889e-05,0.000256053831369214,0.8293420692486717,4.017138276840002e-09,bvmeat
ZWE,1.1237553142219431e-05,0.004845635963037878,0.021628729585320517,0.5136876682821366,bvmeat
